,Date,User,Tweet,Hashtags,Location
2557,2022-10-14 14:42:32+00:00,oluseun_akin1,Is Kemi Olunloyo really a Pharmacist?  https://t.co/xWFUbuk6Rz,,Charlotte | New York
2558,2022-10-14 14:42:31+00:00,CannabisBizNews,Cannabis Business Times and Fluence Reveal Record LED Usage Across All Cannabis Cultivation Stages -... https://t.co/OC4eid51zU #cannabis,['cannabis'],United States
2559,2022-10-14 14:42:30+00:00,CannabisBizNews,Business Advice &amp; Research Archives | Page 4 of 17 | Embroker https://t.co/ceZflxxowd #cannabis,['cannabis'],United States
2560,2022-10-14 14:42:29+00:00,CannabisBizNews,"Committee Legal Counsel - Joint Committee on Cannabis Policy Job in Boston, MA at ... https://t.co/vkCtwKYF3B #cannabis",['cannabis'],United States
2561,2022-10-14 14:42:24+00:00,FLMomNYGirl,"Legal Grass Isn’t Always Greener for Cannabis Companies

 https://t.co/JWNaOl0R8a",,"Florida, USA"
2562,2022-10-14 14:42:19+00:00,AvaansPR_Canna,"No one likes to talk about CBD recalls, but it happens. Use our 3 tips to prepare for those first critical hours. The right plan improves response.

#crisiscommunication #cannabisindustry  https://t.co/gVWEF2kXgi","['crisiscommunication', 'cannabisindustry']",Los Angeles  (HQ)
2563,2022-10-14 14:42:08+00:00,write_now4joy,"Yesterday, I needed to drive &amp; run some errands, but NOT after having recently taken Medical Cannabis, so first thing in the morning, it was!
But that meant that I had to run my errands in pain (&amp; some grogginess, b/c I had woken up earlier, in pain, &amp; couldn’t go back to sleep.",,"Elk Ridge, UT"
2564,2022-10-14 14:41:57+00:00,fasc1nate,Hemp bottles will degrade after around 80 days. Cannabis plastics are also non-toxic. https://t.co/hocsAwlyuo,,
2565,2022-10-14 14:41:31+00:00,amsterdamseeds2,Dealer helped gang flood town with cocaine and cannabis in £6m drugs plot - Liverpool Echo https://t.co/n9RmlziZZh ... #weed #learning #cannabisgrower #weedgrows #sativa #indica #haze #kush,"['weed', 'learning', 'cannabisgrower', 'weedgrows', 'sativa', 'indica', 'haze', 'kush']",uk
2566,2022-10-14 14:41:29+00:00,KingArinze1,"https://t.co/VEjyEwVjvg

@YeleSowore is very intelligent, I'm convinced guy was digging facts",,Port harcourt 
2567,2022-10-14 14:41:00+00:00,FaletiJoshua,Ndlea having a space on cannabis 😀,,"Ibadan, Nigeria"
2568,2022-10-14 14:40:35+00:00,HempContrarian,Biden To Pardon All Federal Offenses Of Simple Marijuana Possession In First Major Steps Toward Decriminalization' $SPY $QQQ $DIA,,"Denver, Colorado"
2569,2022-10-14 14:40:34+00:00,AngelJustice121,"Why America’s cannabis experiment failed https://t.co/lD7VLzSDzO via @spectator. There some real  differences between alcohol and Marijuana. Legalizing Marijuana was a huge mistake,",,
2570,2022-10-14 14:40:32+00:00,VillageParrot,Showore is schooling these people. Just too ignorant to accept obvious facts because they want to uphold one rubbish “moral” standards. https://t.co/7RjYzjEwlv,,Nigeria
2571,2022-10-14 14:40:11+00:00,GotHappyWeed,Happy smokin and keep on tokin! #420 #weed #THC #cannabis,"['weed', 'THC', 'cannabis']","Florida, USA"
2572,2022-10-14 14:39:55+00:00,paulvieira,"In Canada, more than 700 facilities grow cannabis for a relatively small C$4.3 billionof annual adult-use retail sales. As more entrepreneurs pile in, big listed Canadian cannabis stocks are losing market share. https://t.co/rVGfwmNf1U",,"Ottawa, Ontario"
2573,2022-10-14 14:39:51+00:00,Hezzz24,Federally Legalizing and collecting tax on cannabis would move fucking mountains in this country. #LegalizeIt,['LegalizeIt'],"Denver, Co"
2574,2022-10-14 14:39:50+00:00,revaltsolutions,"Currently, cannabis is classified as a Schedule I drug, meaning it defined as having “no currently accepted medical use and a high potential for abuse.”

It’s also a designation that many marijuana researchers disagree with. @Healthline 

https://t.co/jpEHU0b5lM",,Mississippi
2575,2022-10-14 14:39:23+00:00,CodeEnforc3ment,Huntsville City Council to vote on medical cannabis ordinance  https://t.co/idZHzDaICu https://t.co/DB5AiH1vxC,,
2576,2022-10-14 14:39:05+00:00,LarisaBolivar,The cannabis regulatory body is extremely corrupt and protectionist. I’ve dealt with this in Colorado. This is disgusting. The public has a right to know especially workers. #cannabis #corruption #cronyism #protectionism #cannabisindustry https://t.co/vrxNtiStkn,"['cannabis', 'corruption', 'cronyism', 'protectionism', 'cannabisindustry']","Denver, CO"
2577,2022-10-14 14:39:04+00:00,NewsBudz,Urban-Gro Continues Expansion With DVO Acquisition https://t.co/aB3WusHapM #cannabis https://t.co/EbDcFftiLz,['cannabis'],"Philadelphia, PA"
2578,2022-10-14 14:38:46+00:00,Prime_minist3r,Things i love to see...join in https://t.co/wh8gGRTrDZ,,"Abuja, Nigeria"
2579,2022-10-14 14:38:08+00:00,blakeFTM_,Lies and lies y’all are speaking  https://t.co/z25T6oV7sn,,"Ogogoro Village, Nigeria"
2580,2022-10-14 14:38:04+00:00,MMJHealthcare,Video : Deadly gun attack at Russian school – BBC News 🇷🇺 ☠ 👊 🎓 📹 🗞 - https://t.co/J7Od0xAdA7 #cannabiscommunity https://t.co/zD99nNf8M0,['cannabiscommunity'],Nationwide
2581,2022-10-14 14:38:02+00:00,CannabisBizNews,Article: So You Want to Be a Cannabis Lawyer? | Cannabis Law Report https://t.co/WlURmTsZ6A #cannabis,['cannabis'],United States
2582,2022-10-14 14:38:01+00:00,BurtonCanna,"It's FIRE FRIDAY!!! You know what that means! Actually....you might not, and we can't post the details here :( so check out https://t.co/FQ9fHqMUbk to learn what Fire Friday at BCC is all about!! https://t.co/YVCb0yYT5I",,
2583,2022-10-14 14:38:01+00:00,CannabisBizNews,"KY gov weighs mass cannabis pardons (Newsletter: October 14, 2022) - Marijuana Moment https://t.co/amy6VF8oX7 #cannabis",['cannabis'],United States
2584,2022-10-14 14:38:00+00:00,CannabisBizNews,Iowa Democrats break silence to publicly support legal cannabis - Axios Des Moines https://t.co/M8Oq73xXvJ #cannabis,['cannabis'],United States
2585,2022-10-14 14:37:58+00:00,rmohamed_yyc,Most iconic cannabis user:,,"Inglewood, Calgary"
2586,2022-10-14 14:37:46+00:00,CannabisCaviar,Not a…. 😭😭😭😭 https://t.co/j6D418e0oX https://t.co/3Bm1WuOruA,,"Detroit, MI"
2587,2022-10-14 14:37:43+00:00,drcaplan,"Don’t miss out on daily cannabis updates! Turn on your post notifications and to keep up to date on everything you need to know. #cannabisnews 

Have friends that might benefit from daily cannabis updates? Make sure they’re part of the CED community!",['cannabisnews'],"Boston, MA"
2588,2022-10-14 14:37:37+00:00,alipi00,"Sowore is surprisingly lucid on the topic of cannabis
https://t.co/S65D3C2oeP",,Earth
2589,2022-10-14 14:37:29+00:00,rtoptrees,"First snow. Cheers🍃

#marijuana #cannabis #delta8 #weed #cbd
#kush #ganja #weedlife #weedsmokers
#weedcommunity

https://t.co/p9GiWBHQUi","['marijuana', 'cannabis', 'delta8', 'weed', 'cbd', 'kush', 'ganja', 'weedlife', 'weedsmokers', 'weedcommunity']",
2590,2022-10-14 14:37:22+00:00,NYCannabistimes,"OmG. The bestest gift. My first vape was pure nectar. 

This is definitely a good day! 

@pure_nectar_premium_2.0 @pure_nectar_premium_4.0 @ Yeshiva University https://t.co/1QyQJcSanX",,"Washington Heights, Manhattan"
2591,2022-10-14 14:37:19+00:00,weedlifeshiba,"Sowore said it all💪❤️❤️🍁🍁🍁🍁🍁💯

 https://t.co/RClSdUjqjg",,
2592,2022-10-14 14:37:05+00:00,TheFutureEmeka,Ndlea twitter account is having an open discussion on legalising cannabis. I'm impressed 👏🏾,,"Ibadan, Nigeria"
2593,2022-10-14 14:36:59+00:00,TheMetaFutures,Children’s Palliative Care &amp; Medical Cannabis: Australian Researchers Conduct Pilot Study https://t.co/24lokLxglF,,United States
2594,2022-10-14 14:36:59+00:00,MasonEzenwa,God will help me bless @YeleSowore for the cannabis talk,,"Lagos, Nigeria"
2595,2022-10-14 14:36:07+00:00,hempnewsonline,What Are The Top I.T. Problems in the Cannabis Industry? (And How to Solve Them!) https://t.co/hS7h1RRyz6 #culture,['culture'],
2596,2022-10-14 14:35:53+00:00,chuchuisbipolar,So wore just talked about THE MUNCHIES after getting high  https://t.co/fPsSXYOwwn,,Edge of Insanity
2597,2022-10-14 14:35:34+00:00,PLegalization,"No one goes to prison for “smoking marijuana.”  

People go to prison for growing it.",,"Pennsylvania, USA"
2598,2022-10-14 14:35:29+00:00,MICannaIndustry,"Come and share your job openings, apprentice opportunities, and information about your company to Detroiters or seek a job at the Cannabis Job Fair! 
Employer Registration: https://t.co/S9RGssqSRB
Job Seeker Registration: https://t.co/FzZJpsaqfd https://t.co/QBEownCvbP",,
2599,2022-10-14 14:35:27+00:00,tkosportstalk1,Mom Finds Cannabis Gummy Worms In 5-Year-Old's Halloween Candy    Maybe not subject them to this nonsense of Halloween in the first place? https://t.co/i2iUof7Xl2,,"Glenelg, MD"
2600,2022-10-14 14:35:26+00:00,black_e_fezco,"Omoyele Sowore stated “people smoke cigarettes, people take alcohol, each which are more harmful than cannabis”! https://t.co/794jRvHUQq",,420 island
2601,2022-10-14 14:35:23+00:00,Daniboy_CFC,Children’s Palliative Care &amp; Medical Cannabis: Australian Researchers Conduct Pilot Study https://t.co/YBJiBoajFk,,World Wide
2602,2022-10-14 14:35:12+00:00,tholu_piupa,Why did he really have to point it out that he has never and even if legalized will never take cannabis? Lmao,,space 
2603,2022-10-14 14:35:00+00:00,Wire__7,Sowore be speaking real good on cannabis 🌳😏,,
2604,2022-10-14 14:34:58+00:00,CannabisDad,"Remember the time a sitting Liberal Cabinet Minister was accused of being a Made Man by the FBI?  The closest Conservatives came to this was a shady German international arms dealer, a hotel room and an envelope of cash.

2004:

https://t.co/awaLV84p1G",,Toronto to the Ontario Valleys
2605,2022-10-14 14:34:52+00:00,isexcel,"I'm high on Justice already, I don't need to smoke. ⁦@YeleSowore⁩  https://t.co/oyn4UMbJeP",,"Lagos, Nigeria"
2606,2022-10-14 14:34:34+00:00,MDConnoisseur,"Another Sneak Peek: Alt-Sol Craft Cannabis Connoisseurs

West Virginia Harvest Shot

Tap Our Profile Link To See More

#CannabisCommunity #cannabisculture #cannabisindustry #photography #PHOTOS #photographylovers #macrophotography https://t.co/cwwDf8Xtcm","['CannabisCommunity', 'cannabisculture', 'cannabisindustry', 'photography', 'PHOTOS', 'photographylovers', 'macrophotography']","Baltimore, MD"
2607,2022-10-14 14:34:15+00:00,interludetheart,"‘i’ve never smoked cannabis in my life’ normal levels, e dey show",,in my girl’s arms 
