Date,User,Tweet,Hashtags,Location,Mentioned User,Key Word,Reply Count,like Count,Retwet Count,Followers Count
2022-08-11 14:36:41+00:00,stubbs203,"on the bus stage at 4pm sunday for THC Campout 2022 :)) 

see yall soon https://t.co/mlp2A4nRaH",,they/he,,THC,0,2,0,452
2022-08-11 04:07:33+00:00,TwoHeadedGoy,Bringing @NatalieCole back as spokesperson for my new THC baked goods line Unforg-Edibles,,"Chicago, IL","[User(username='NatalieCole', id=460461468, displayname='Natalie Cole', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",THC,0,2,0,300
2022-08-11 03:31:31+00:00,Jeremy_Danner,Royals win! Drink THC! #HEYHEYHEYHEY https://t.co/gVNhV39mWu,['HEYHEYHEYHEY'],Kansas City,,THC,1,25,1,19733
2022-08-10 01:53:17+00:00,TreezEmerald,"What's the greatest misconception of the cannabis industry? Find out in our new blog post!
https://t.co/x9HmdVmq85
 #weed #thc #marijuana  #medical #weedlife  #cultivation #mmemberville #oklahoma #clones #blog #testing #thcpercentage #cannabinoids","['weed', 'thc', 'marijuana', 'medical', 'weedlife', 'cultivation', 'mmemberville', 'oklahoma', 'clones', 'blog', 'testing', 'thcpercentage', 'cannabinoids']","Moore, OK",,THC,0,3,0,327
2022-08-09 22:49:02+00:00,Jeremy_Danner,Royals win! Drink Gatorade with THC drops! #HEYHEYHEYHEY,['HEYHEYHEYHEY'],Kansas City,,THC,1,20,1,19733
2022-08-09 19:59:14+00:00,icyze98,"‼️THC does not matter, but THC% is what sells (unfortunately). People come in buying cheap flower with high thc% &amp; try discrediting indoor flower with low percentage or slightly lower than what they’re getting . Terpenes is where it’s at.We all smoke different &amp; to each their own https://t.co/uiz039Eycq",,"Riverside, CA",,THC,1,4,1,1113
2022-08-09 16:02:52+00:00,ViralNewsNYC,"Smoke shops are being robbed across #NYC. Some shops are saying they were robbed for #CBD which isn't the truth. Criminals know the shops won't say its #THC and they are taking advantage of it.
NY state needs to hurry up and give out THC licensing 
#NYC #CannabisCommunity #HEMP","['NYC', 'CBD', 'THC', 'NYC', 'CannabisCommunity', 'HEMP']","New York, NY",,THC,7,24,5,30568
2022-08-09 05:23:19+00:00,webprecision,I've been a heavy cannabis consumer for over 40 years and am getting tinitous. It can cause it. I love music and THC. I'm a bit scared right now...,,Terrapin Station,,THC,1,2,0,14629
2022-08-09 00:19:13+00:00,Lemommeringue,THC cum got me like “babe can I hit the dong?”,,"Boise, ID",,THC,4,7,0,864
2022-08-08 22:16:57+00:00,NativeRoots303,"Happy National CBD, Colorado! 🎉

We love THC, but we also offer CBD products! THC is the compound most commonly associated with psychoactive effects while CBD is not. Come see us for your CBD products today✌️😎",,Colorado,,THC,0,4,0,9107
2022-08-08 18:27:43+00:00,nerkolaus,All bars need to serve THC seltzers,,"Boston, MA",,THC,4,23,0,1188
2022-08-07 18:35:32+00:00,Jeremy_Danner,"I just drank 50mg of THC, I’m wearing a bucket hat and we’re headed to the pool.",,Kansas City,,THC,21,202,0,19733
